Data;?tem;Respons?vel;Curso;Valor
22/04/2021;CONJUNTO DE TORRE DE MOTORES (ANEXO);Daniel;Aprendizagem Ind?strial Administra??o;R$ 2.657,00 
17/04/2021;ESTAÇÃO DIGITAL DE RETRABALHO;Daniel;T?cnico em Mecatr?nica;R$ 180,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 40,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 40,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;T?cnico em Eletr?nica;R$ 40,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;Aprendizagem Ind?strial Administra??o;R$ 40,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETRÔNICOS (;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 6.798,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETRÔNICOS (;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 6.798,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETRÔNICOS (;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 6.798,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETRÔNICOS (;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 6.798,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;T?cnico em Mecatr?nica;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;T?cnico em Eletr?nica;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;T?cnico em Eletr?nica;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTAÇÃO DE BANCADA- EDUTEC;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 730,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Administra??o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Mecatr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Administra??o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Mecatr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Mecatr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Administra??o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Mecatr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Administra??o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial Administra??o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;T?cnico em Eletr?nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 ÁRTICO);Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 150,00 
01/04/2021;BANCADA P/ ENSAIOS ELETROELETRÔNICOS DCE 216A;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 1.194,00 
01/04/2021;BANCADA P/ ENSAIOS ELETROELETRÔNICOS DCE 216A;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 1.194,00 
01/04/2021;BANCADA P/ ENSAIOS ELETROELETRÔNICOS DCE 216A;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 1.194,00 
01/04/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS D;Daniel;T?cnico em Eletr?nica;R$ 1.194,00 
01/04/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS D;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.194,00 
01/04/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS D;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.194,00 
31/03/2021;MESA EM L COM DIVISORIA - DC 1508 BARROS;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 1.060,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS-  NJG;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.194,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS-  NJG;Daniel;T?cnico em Eletr?nica;R$ 1.194,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS-  NJG;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 1.194,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS-  NJG;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.194,00 
10/03/2021;CONJ.MANIPULADOR ELETROPNEUMÁTICO - FESTO;Daniel;T?cnico em Eletr?nica;R$ 2.740,00 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Daniel;T?cnico em Mecatr?nica;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 1.669,50 
18/02/2021;CHAVES SOQUETE 10 A 32MM  24P- BELZER ITMA;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 169,24 
17/02/2021;CONJUNTO ESTUDO  CONVERSORES CA/CC BIT9;Daniel;Aprendizagem Ind?strial Administra??o;R$ 22.850,00 
17/02/2021;CONJUNTO ESTUDO  CONVERSORES CA/CC BIT9;Daniel;Aprendizagem Ind?strial Administra??o;R$ 22.850,00 
13/02/2021;IMPRESSORA JATO DE TINTA A4 - WIRELESS HP;Daniel;T?cnico em Eletr?nica;R$ 585,29 
13/02/2021;IMPRESSORA JATO DE TINTA A4 - WIRELESS HP;Daniel;Aprendizagem Ind?strial Administra??o;R$ 585,29 
09/02/2021;LÁPIS ELETR.P/ GRAVAR -VIBR./MIN -110V-BOSCH;Daniel;T?cnico em Mecatr?nica;R$ 78,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Daniel;Aprendizagem Ind?strial Administra??o;R$ 385,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Daniel;Aprendizagem Ind?strial Administra??o;R$ 385,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 385,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 385,00 
28/01/2021;ALICATE TERROMETRO DIGITAL MRT-100;Daniel;T?cnico em Mecatr?nica;R$ 1.942,50 
28/01/2021;FASÍMETRO DIGITAL SPI 200 INSTRUTHERM;Daniel;T?cnico em Mecatr?nica;R$ 129,15 
28/01/2021;FASÍMETRO DIGITAL SPI 200 INSTRUTHERM;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 129,15 
28/01/2021;FASÍMETRO DIGITAL SPI 200 INSTRUTHERM;Daniel;T?cnico em Eletr?nica;R$ 129,15 
28/01/2021;TACOMETRO DIGITAL PORT. C/MIRA LASER TD712;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 97,75 
28/01/2021;FONTE DE ALIMENTAÇÃO AJUST. 0 A 30 FA3030;Daniel;Aprendizagem Ind?strial Administra??o;R$ 294,00 
28/01/2021;FONTE DE ALIMENTAÇÃO AJUST. 0 A 30 FA3030;Daniel;Aprendizagem Ind?strial Administra??o;R$ 294,00 
28/01/2021;FONTE DE ALIMENTAÇÃO AJUST. 0 A 30 FA3030;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 294,00 
28/01/2021;FONTE DE ALIMENTAÇÃO AJUST. 0 A 30 FA3030;Daniel;T?cnico em Mecatr?nica;R$ 294,00 
28/01/2021;FONTE DE ALIMENTAÇÃO AJUST. 0 A 30 FA3030;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 294,00 
23/01/2021;JOGO CHAVES SOQUETES C/CABO TRAMONTINA;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 144,00 
22/01/2021;SISTEMA P/TREIN. AUTOMAÇÃO ELÉTRICA PREDIAL;Daniel;Aprendizagem Ind?strial Administra??o;R$ 5.000,00 
19/01/2021;VARIADOR DE TENSÃO PORTAT.TRIFÁSICO 6(A) YNC;Daniel;T?cnico em Eletr?nica;R$ 1.149,00 
08/01/2021;ARMÁRIO BAIXO P.F.1000X900X550 -L-166-SCARPARO;Daniel;T?cnico em Eletr?nica;R$ 387,50 
23/12/2020;TESTADOR DE P/ CABOS UTP/STP/COAX-F IDEAL;Daniel;T?cnico em Mecatr?nica;R$ 1.220,00 
23/12/2020;IDENTIFICADOR VISUAL FALHAS C/FONTE IDEAL;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 1.200,00 
22/12/2020;TRANSFORMADOR TRIFÁSICO DIDÁTICO OPUS;Daniel;Aprendizagem Ind?strial Administra??o;R$ 299,00 
22/12/2020;TRANSFORMADOR TRIFÁSICO DIDÁTICO OPUS;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 299,00 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Daniel;T?cnico em Eletr?nica;R$ 37,10 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 37,10 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Daniel;T?cnico em Mecatr?nica;R$ 37,10 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Daniel;T?cnico em Mecatr?nica;R$ 37,10 
22/12/2020;TERMÔMETRO DIGITAL C/MIRA LASER ICEL TD961;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 133,00 
22/12/2020;TERMÔMETRO DIGITAL C/MIRA LASER ICEL TD961;Daniel;T?cnico em Eletr?nica;R$ 133,00 
22/12/2020;TERMÔMETRO DIGITAL C/MIRA LASER ICEL TD961;Daniel;T?cnico em Mecatr?nica;R$ 133,00 
22/12/2020;LUXIMETRO DIGITAL ICEL LD510;Daniel;T?cnico em Mecatr?nica;R$ 63,75 
22/12/2020;MEGÔHMETRO DIGITAL ICEL MG3000;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 287,00 
22/12/2020;MEGÔHMETRO DIGITAL ICEL MG3000;Daniel;Aprendizagem Ind?strial Administra??o;R$ 287,00 
22/12/2020;ESTAÇÃO DE SOLDAGEM 200 A 450 GRAUS C;Daniel;T?cnico em Mecatr?nica;R$ 145,00 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Daniel;T?cnico em Eletr?nica;R$ 36,30 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Daniel;T?cnico em Eletr?nica;R$ 36,30 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 36,30 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Daniel;Aprendizagem Ind?strial Administra??o;R$ 36,30 
10/12/2020;JOGO CHAVES COMBINADAS 6A32MM TRAMONTINA;Daniel;T?cnico em Mecatr?nica;R$ 287,90 
10/12/2020;JOGO CHAVES COMBINADAS 1/4A1.1/4P TRAMONTINA;Daniel;Aprendizagem Ind?strial Administra??o;R$ 189,90 
01/12/2020;MOTOR TRIFASICO DE INDUÇÃO KCEL ME1977;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 217,59 
01/12/2020;MOTOR TRIFASICO DE INDUÇÃO KCEL ME1977;Daniel;T?cnico em Eletr?nica;R$ 217,59 
27/11/2020;ALICATE UNIVERSAL 8P VONDER;Daniel;T?cnico em Eletr?nica;R$ 17,90 
27/11/2020;JOGO CHAVE FIXA 12 PEÇAS 6 A 32MM - VONDER;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 92,00 
26/11/2020;ARMÁRIO MÉDIO 800X1000X500MM-L-022-SCARPARO;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 387,00 
26/11/2020;ARMÁRIO MÉDIO 800X1000X500MM-L-022-SCARPARO;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 387,00 
26/11/2020;ARMÁRIO MÉDIO 800X1000X500MM-L-022-SCARPARO;Daniel;T?cnico em Eletr?nica;R$ 387,00 
06/11/2020;ESTAÇÃO ANAL. RETRABALHO SMD 110V-TOYO;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 630,00 
06/11/2020;ESTAÇÃO DE DESSOLDAGEM TS-700 110V- TOYO;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 806,00 
04/11/2020;CADEIRA C/PÉS TRAPEZOIDAIS PRETA-STILOFLEX;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 97,80 
04/11/2020;CADEIRA C/PÉS TRAPEZOIDAIS PRETA-STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 97,80 
04/11/2020;CADEIRA C/PÉS TRAPEZOIDAIS PRETA-STILOFLEX;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 97,80 
04/11/2020;CADEIRA C/PÉS TRAPEZOIDAIS PRETA-STILOFLEX;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 97,80 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 57,00 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 57,00 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 57,00 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 57,00 
04/11/2020;CADEIRA GIRAT.C/BRAÇOS REG.PRETA-STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 230,00 
04/11/2020;CADEIRA GIRAT.C/BRAÇOS REG.PRETA-STILOFLEX;Daniel;T?cnico em Eletr?nica;R$ 230,00 
04/11/2020;CADEIRA GIRAT.C/BRAÇOS REG.PRETA-STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 230,00 
04/11/2020;CADEIRA GIRAT.S/BRAÇOS REG.PRETA-STILOFLEX;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 191,00 
04/11/2020;CADEIRA GIRAT.S/BRAÇOS REG.PRETA-STILOFLEX;Daniel;Aprendizagem Ind?strial Administra??o;R$ 191,00 
04/11/2020;CADEIRA GIRAT.S/BRAÇOS REG.PRETA-STILOFLEX;Daniel;T?cnico em Eletr?nica;R$ 191,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial Administra??o;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial Administra??o;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;T?cnico em Eletr?nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial Administra??o;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;T?cnico em Eletr?nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRAÇOS ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 188,00 
04/11/2020;CADEIRA GIRATÓRIA C/BRAÇO -ROYAL -STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 215,00 
04/11/2020;CADEIRA GIRATÓRIA C/BRAÇO -ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 215,00 
04/11/2020;CADEIRA GIRATÓRIA C/BRAÇO -ROYAL -STILOFLEX;Daniel;T?cnico em Mecatr?nica;R$ 215,00 
04/11/2020;CADEIRA GIRATÓRIA C/BRAÇO -ROYAL -STILOFLEX;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 215,00 
